idx,p_x,p_y,p_z,q_w,q_x,q_y,q_z
133,-1.50164,1.3926,0.118351,0.748301,7.7244e-05,0.0178738,-0.663118
134,-1.49891,1.39707,0.137487,0.750747,0.00447822,0.0189143,-0.660304
135,-1.49811,1.3985,0.147505,0.75084,0.00785092,0.0182942,-0.660184
136,-1.49605,1.40305,0.202742,0.749001,0.0215723,0.0238072,-0.66179
137,-1.49571,1.40437,0.238435,0.747482,0.0273531,0.0252759,-0.663237
138,-1.49606,1.40463,0.300913,0.744197,0.0291371,0.0299618,-0.666652
139,-1.49638,1.40421,0.323565,0.743158,0.0303056,0.0293721,-0.667784
140,-1.4983,1.40167,0.395762,0.73946,0.0294065,0.029322,-0.671919
141,-1.50121,1.39652,0.482944,0.735521,0.0234851,0.0283286,-0.676502
142,-1.50293,1.39326,0.529088,0.73317,0.0200548,0.0274942,-0.679194
143,-1.50507,1.3884,0.586403,0.730444,0.0165022,0.0270835,-0.682236
144,-1.50953,1.3778,0.700742,0.727676,0.00764872,0.0203554,-0.685576
145,-1.51062,1.37518,0.726854,0.727141,0.0035414,0.021361,-0.686147
146,-1.51288,1.36693,0.793397,0.725746,-0.00922025,0.027651,-0.687345
147,-1.514,1.36132,0.828026,0.725263,-0.017121,0.030661,-0.687575
148,-1.51558,1.35335,0.865946,0.724205,-0.0248897,0.0364497,-0.688171
149,-1.51572,1.35066,0.874499,0.724444,-0.0254024,0.0352526,-0.687962
150,-1.51572,1.34031,0.892277,0.72526,-0.0243995,0.0315217,-0.68732
151,-1.51522,1.33577,0.89227,0.725301,-0.0218555,0.0255768,-0.687609
152,-1.51398,1.32968,0.884352,0.725708,-0.0178084,0.0153468,-0.687601
153,-1.51328,1.32788,0.879982,0.725908,-0.016187,0.0110298,-0.687513
154,-1.50935,1.32035,0.850764,0.726771,-0.0089626,-0.0015704,-0.68682
155,-1.50846,1.3191,0.844194,0.72708,-0.00802859,-0.00218701,-0.686502
156,-1.50663,1.31695,0.825217,0.727416,-0.00553186,-0.00396816,-0.686163
157,-1.506,1.31656,0.819226,0.727564,-0.00460684,-0.00437209,-0.68601
158,-1.50499,1.31619,0.798736,0.727894,-0.000844649,-0.000842104,-0.685689
159,-1.50474,1.3163,0.794574,0.72808,-3.03079e-06,0.000798233,-0.685492
160,-1.50489,1.31761,0.785065,0.72794,0.00200342,0.00413534,-0.685625
161,-1.50541,1.31834,0.783811,0.727425,0.00210695,0.00647737,-0.686154
162,-1.50663,1.32135,0.780753,0.72752,0.00328945,0.00952008,-0.686013
163,-1.50817,1.32364,0.782499,0.726902,0.00232258,0.0120147,-0.686632
164,-1.50978,1.32627,0.78614,0.726344,0.00227491,0.0159974,-0.687141
165,-1.51031,1.32702,0.787375,0.726026,0.00223923,0.0174072,-0.687443
166,-1.51224,1.33069,0.795327,0.725865,0.0011731,0.0219819,-0.687485
167,-1.51302,1.33223,0.799648,0.725285,0.000464323,0.0234635,-0.688049
168,-1.51368,1.33431,0.806857,0.72514,-0.000273915,0.0244079,-0.688168
169,-1.5135,1.33461,0.808933,0.725717,0.000538022,0.0242836,-0.687565
170,-1.51386,1.33726,0.818273,0.724929,-0.000972483,0.0237905,-0.688412
171,-1.51363,1.33784,0.820338,0.725131,-0.000900306,0.0224479,-0.688245
172,-1.51272,1.33895,0.825395,0.725475,-0.000600057,0.0200537,-0.687956
173,-1.51231,1.34018,0.828747,0.725208,-0.00147422,0.0206666,-0.688218
174,-1.50983,1.34156,0.833064,0.725635,-0.0011952,0.0187517,-0.687823
175,-1.50935,1.34184,0.833804,0.725768,-0.00124192,0.0178918,-0.687706
176,-1.50747,1.34317,0.83621,0.725544,-0.00131136,0.0180371,-0.687938
177,-1.50592,1.34384,0.837235,0.726074,-0.000674129,0.017509,-0.687393
178,-1.50333,1.34509,0.838506,0.726364,0.000200679,0.016876,-0.687103
179,-1.50145,1.34554,0.838762,0.727051,0.00128987,0.0162011,-0.686391
180,-1.4988,1.34722,0.839464,0.72663,0.00101074,0.0166107,-0.686828
181,-1.49758,1.34759,0.839378,0.726605,0.00103238,0.0168052,-0.68685
182,-1.49355,1.34906,0.839052,0.727843,0.00281605,0.0158054,-0.685556
183,-1.49272,1.34941,0.839156,0.727848,0.00280755,0.0158107,-0.68555
184,-1.48893,1.35134,0.840018,0.727569,0.00299429,0.0162819,-0.685834
185,-1.48775,1.35162,0.840075,0.727589,0.00331253,0.0176406,-0.685779
186,-1.48368,1.35295,0.840664,0.727836,0.00312281,0.0160375,-0.685557
187,-1.48262,1.35331,0.840802,0.727928,0.00252947,0.0159465,-0.685463
188,-1.4794,1.35437,0.841435,0.728033,0.00109037,0.0177888,-0.68531
189,-1.47541,1.35479,0.841276,0.728771,-0.000143844,0.0180985,-0.684519
190,-1.47184,1.35567,0.841283,0.728626,-0.00160066,0.0178811,-0.684676
191,-1.47025,1.35626,0.841492,0.728267,-0.00250506,0.0185958,-0.685036
192,-1.46602,1.35702,0.841208,0.728899,-0.00205456,0.0153567,-0.684445
193,-1.45977,1.35837,0.840978,0.729318,-0.000223221,0.0138049,-0.684035
194,-1.455,1.35973,0.840789,0.729062,0.000662914,0.0118221,-0.684345
195,-1.45336,1.36004,0.840507,0.729168,0.000911816,0.0113975,-0.68424
196,-1.44852,1.36157,0.839429,0.729023,0.00197255,0.0107429,-0.684402
197,-1.44371,1.36313,0.838215,0.729194,0.00249917,0.0110382,-0.684213
198,-1.43903,1.36502,0.837425,0.729166,0.00341947,0.012043,-0.684222
199,-1.43752,1.36549,0.837032,0.729042,0.00382308,0.0120122,-0.684353
200,-1.43251,1.36736,0.835999,0.729031,0.00507634,0.0155455,-0.684285
201,-1.42963,1.36839,0.835152,0.728714,0.00540085,0.0146226,-0.68464
202,-1.42372,1.37044,0.832879,0.729077,0.00680733,0.014566,-0.684242
